author,country,region,date,finance,title,file
World Bank,Djibouti,Africa,2016,7,Second Additional Financing For The Rural Community Development And Water Mobilization Project,WB2.txt
World Bank,Sierra Leone,Africa,2017,10,Sierra Leone Agro- Processing Competitiveness Project,WB5.txt
World Bank,Lesotho,Africa,2017,10,Lesotho Smallholder Agriculture Development Project Additional Financing,WB6.txt
World Bank,Lesotho,Africa,2017,13.4,Second Private Sector Competitiveness & Economic Diversification,WB8.txt
World Bank,Benin,Africa,2018,195,Benin Second Fiscal Reform And Growth Dpf,WB10.txt
World Bank,Guinea-Bissau,Africa,2020,15,Guinea Bissau Emergency Food Security Project,WB11.txt
World Bank,Zambia,Africa,2017,17,Zambia Integrated Forest Landscape Project,WB12.txt
World Bank,East African Partner States,Africa,2015,22,Lake Victoria Environmental Management Project Additional Financing,WB16.txt
World Bank,Benin,Africa,2017,40,Benin - First Fiscal Reform And Growth Operation,WB24.txt
World Bank,Guinea,Africa,2018,40,Guinea Integrated Agricultural Development Project ,WB25.txt
World Bank,Chad,Africa,2018,41,Chad Climate Resilient Agriculture And Productivity Enhancement Project,WB28.txt
World Bank,Benin,Africa,2017,45,Agricultural Productivity And Diversification Additional Financing,WB29.txt
World Bank,Rwanda,Africa,2016,259.2,Transformation Of Agriculture Sector Program Phase 3 Additional Financing,WB31.txt
World Bank,Chad,Africa,2019,50,Chad Skills Development For Youth Employability Project,WB33.txt
World Bank,African States,Africa,2018,50,Agricultural Productivity Program For Southern Africa - Angola & Lesotho,WB34.txt
World Bank,Lesotho,Africa,2019,50,Second Phase Smallholder Agriculture Development Project,WB35.txt
World Bank,Burundi,Africa,2015,55,Burundi Coffee Sector Competitiveness Support Project,WB37.txt
World Bank,Mozambique,Africa,2018,55,Smallholder Irrigated Agriculture And Market Access Project,WB39.txt
World Bank,Liberia,Africa,2021,55,Liberia: Rural Economic Transformation Project,WB40.txt
World Bank,African States,Africa,2020,60,Accelerating Impacts Of Cgiar Climate Research For Africa,WB42.txt
World Bank,Chad,Africa,2018,65,First Programmatic Economic Recovery And Resilience Grant,WB43.txt
World Bank,West African States,Africa,2016,68,Additional Financing For West Africa Agricultural Productivity Program,WB45.txt
World Bank,Angola,Africa,2015,70,Smallholder Agriculture Development And Commercialization Project,WB46.txt
World Bank,Cote d'Ivoire,Africa,2017,50,Digital Solutions For Sustainable Development,WB47.txt
World Bank,Tanzania,Africa,2016,70,Southern Agricultural Growth Corridor Of Tanzania Investment Project,WB48.txt
World Bank,"Congo, Democratic Republic of",Africa,2017,75,Democratic Republic of the Congo Agriculture Rehabilitation And Recovery ,WB49.txt
World Bank,Benin,Africa,2019,75,Benin: Gazetted Forests Management Project,WB50.txt
World Bank,Niger,Africa,2018,80,Niger Refugees And Host Communities Support Project,WB53.txt
World Bank,South Africa,Africa,2017,95,Land Bank Financial Intermediation Loan,WB57.txt
World Bank,"Congo, Republic of",Africa,2017,100,Congo Commercial Agriculture Project,WB60.txt
World Bank,Rwanda,Africa,2018,100,Transformation Of Agriculture Sector Program ,WB61.txt
World Bank,Ethiopia,Africa,2018,100,Ethiopia Resilient Landscapes And Livelihoods Project,WB64.txt
World Bank,Kenya,Africa,2018,100,Kenya Marine Fisheries And Socio-economic Development Project,WB65.txt
World Bank,Ghana,Africa,2021,100,Ghana Productive Safety Net Project,WB67.txt
World Bank,Niger,Africa,2018,100,Niger - Agricultural And Livestock Transformation Project,WB68.txt
World Bank,Zambia,Africa,2019,75,Transforming Landscapes For Resilience And Development In Zambia,WB69.txt
World Bank,Chad,Africa,2019,40,Chad Second Programmatic Economic Recovery And Resilience Grant,WB71.txt
World Bank,Burkina Faso,Africa,2020,100,Burkina Faso Covid-19 Emergency Dpo,WB73.txt
World Bank,West African States,Africa,2016,310,Regional Disease Surveillance Systems Enhancement,WB74.txt
World Bank,Niger,Africa,2018,110,Second Fostering Rural Reform Grant,WB75.txt
World Bank,Niger,Africa,2018,120,Fostering Rural Reform Grant,WB76.txt
World Bank,Angola,Africa,2017,230,Angola: Commercial Agriculture Development Project,WB80.txt
World Bank,Tanzania,Africa,2017,150,Tanzania: Resilient Natural Resource Management For Tourism And Growth,WB82.txt
