adverb	frequency
also	2709
not	2366
well	1577
as	1490
up	1235
out	1032
more	834
only	735
however	703
particularly	651
forth	631
especially	515
about	486
approximately	485
fully	448
most	433
therefore	429
directly	408
mainly	389
already	375
currently	371
thus	369
further	335
e.g.	327
prior	320
at	304
highly	288
very	284
specifically	258
least	255
still	249
furthermore	236
respectively	221
significantly	214
namely	200
largely	198
otherwise	195
even	189
together	183
below	175
mostly	173
now	163
substantially	162
yet	159
so	154
on	153
above	152
moreover	151
annually	151
relatively	150
primarily	148
recently	146
later	140
closely	136
better	135
finally	132
potentially	128
often	128
effectively	125
around	122
sustainably	121
nearly	119
hence	115
then	114
generally	112
almost	112
no	109
duly	106
economically	100
first	97
thereby	96
increasingly	96
regularly	94
notably	93
environmentally	92
promptly	91
similarly	90
far	90
consequently	88
jointly	87
less	86
additionally	86
locally	85
much	83
in	80
previously	77
down	76
adequately	74
rather	73
successfully	72
rapidly	71
overall	71
lastly	71
just	71
indeed	71
once	69
clearly	68
accordingly	68
forward	66
over	63
exclusively	62
extremely	61
nevertheless	60
alone	60
newly	58
heavily	57
indirectly	56
competitively	56
ultimately	55
severely	55
gradually	55
essentially	55
negatively	54
likely	54
away	52
nationally	50
financially	50
back	50
actively	50
off	49
subsequently	48
predominantly	48
poorly	47
properly	46
initially	46
long	45
widely	44
systematically	44
reasonably	44
immediately	43
easily	43
second	42
legally	42
typically	41
slightly	41
commercially	41
adversely	41
efficiently	40
eventually	39
through	38
publicly	38
partly	38
too	37
thereafter	37
socially	37
broad	37
thereof	36
equally	36
internationally	35
nonetheless	34
therein	32
separately	32
instead	32
here	32
close	32
twice	31
strongly	31
soon	31
simultaneously	31
semiannually	31
roughly	31
partially	31
greatly	31
globally	31
entirely	31
consistently	31
quickly	30
strictly	29
possibly	29
hereby	29
sufficiently	28
broadly	28
usually	27
quite	27
externally	27
elsewhere	27
considerably	26
by	26
all	26
readily	24
internally	24
historically	23
geographically	23
earlier	23
solely	22
sexually	22
periodically	22
mutually	22
longer	22
likewise	22
importantly	22
disproportionately	22
traditionally	21
that	21
steadily	21
sometimes	21
moderately	21
domestically	21
apart	21
third	19
technically	19
formally	19
culturally	19
appropriately	19
regionally	18
commonly	18
carefully	18
abroad	18
high	17
frequently	17
explicitly	17
collectively	17
wide	16
virtually	16
strategically	16
satisfactorily	16
online	16
normally	16
low	16
individually	16
enough	16
worldwide	15
timely	15
principally	15
officially	15
faster	15
early	15
always	15
again	15
under	14
seriously	14
formerly	14
fairly	14
behind	14
ahead	14
sharply	13
progressively	13
originally	13
independently	13
extensively	13
yearly	12
slowly	12
preferably	12
nationwide	12
is	12
fourth	12
ever	12
ecologically	12
dramatically	12
aside	12
upstream	11
outside	11
higher	11
centrally	11
best	11
solar	10
short	10
proactively	10
positively	10
naturally	10
meanwhile	10
gully	10
fine	10
downstream	10
concurrently	10
closer	10
besides	10
before	10
versa	9
simply	9
secondly	9
manually	9
fast	9
evenly	9
critically	9
continuously	9
completely	9
chronically	9
there	8
rarely	8
punjab	8
presently	8
overwhelmingly	8
necessarily	8
lower	8
institutionally	8
either	8
densely	8
barely	8
unfortunately	7
truly	7
quarterly	7
privately	7
perhaps	7
perfectly	7
never	7
merely	7
hard	7
drastically	7
beforehand	7
alike	7
actually	7
voluntarily	6
vice	6
top	6
tentatively	6
sparsely	6
somewhat	6
right	6
regardless	6
purely	6
profitably	6
permanently	6
n’t	6
live	6
insufficiently	6
home	6
free	6
equitably	6
deeply	6
comparatively	6
certainly	6
amply	6
acutely	6
urgently	5
unquestionably	5
thoroughly	5
thinly	5
structurally	5
smoothly	5
shortly	5
semi	5
remotely	5
randomly	5
politically	5
nutritionally	5
inter	5
informally	5
ill	5
ideally	5
fundamentally	5
firstly	5
firmly	5
constantly	5
beyond	5
backward	5
along	5
ago	5
wholly	4
weakly	4
viii	4
vertically	4
uniquely	4
swiftly	4
suitably	4
specially	4
spatially	4
sixth	4
routinely	4
retroactively	4
reliably	4
provisionally	4
proportionately	4
probably	4
precisely	4
physically	4
persistently	4
pariis	4
operationally	4
near	4
markedly	4
insofar	4
inherently	4
imminently	4
illegally	4
hydrologically	4
hardest	4
half	4
forcibly	4
fastest	4
exceptionally	4
ethnically	4
disproportionally	4
correctly	4
continually	4
altogether	4
ably	4
-	4
voucher	3
unevenly	3
unconditionally	3
transparently	3
totally	3
though	3
thirdly	3
temporarily	3
squarely	3
safely	3
round	3
responsibly	3
remarkably	3
re-	3
productively	3
predominately	3
precipitously	3
personally	3
pdna	3
optimally	3
opme	3
objectively	3
ng	3
monthly	3
meaningfully	3
materially	3
marginally	3
lightly	3
learnt	3
latest	3
last	3
inward	3
inland	3
inextricably	3
inclusively	3
horizontally	3
hilly	3
highest	3
hereafter	3
hardly	3
halfway	3
gainfully	3
due	3
de-	3
cumulatively	3
crucially	3
constitutionally	3
comprehensively	3
briefly	3
both	3
bilaterally	3
automatically	3
112th	3
whatsoever	2
way	2
vigorously	2
upon	2
unnecessarily	2
under-	2
unacceptably	2
thematically	2
substantively	2
sub-	2
stubbornly	2
straight	2
statistically	2
starkly	2
sporadically	2
speedily	2
south	2
seemingly	2
seasonally	2
rightly	2
responsiveness	2
resolutely	2
reportedly	2
really	2
realistically	2
radically	2
publically	2
prominently	2
