quadgram	frequency
in accordance with the	732
the ministry of agriculture	351
q q q q	318
the project will be	318
amount amount amount amount	317
proceeds of the loan	286
the proceeds of the	262
the implementation of the	260
set forth in the	258
for the purposes of	257
from time to time	256
environmental and social management	253
will be responsible for	253
the borrower shall ensure	246
per cent of the	237
as well as the	232
to the republic of	231
in the project area	220
of the loan regulations	209
of this loan agreement	208
amount of the loan	207
the borrower and adb	207
in line with the	205
ministry of agriculture and	189
to this loan agreement	188
from the loan account	186
will be carried out	182
the project will also	178
the project executing agency	178
the terms and conditions	172
as part of the	170
the project will support	168
food and nutrition security	167
the purposes of section	165
on the basis of	163
the environmental and social	160
schedule to this loan	157
between the borrower and	154
of the ministry of	152
as a result of	149
borrower shall ensure that	147
of the proceeds of	142
with the provisions of	138
accordance with the provisions	134
in the agricultural sector	133
to ensure that the	131
implementation of the project	131
accordance with the terms	130
principal amount of the	126
requirements set forth in	126
out of the proceeds	123
d in sert e	122
an d in sert	122
financed out of the	122
h ere an d	122
in sert e b	122
c lick h ere	122
ere an d in	122
lick h ere an	122
environmental and social safeguards	121
an environmental and social	120
be financed out of	119
the end of the	117
environmental and social impacts	116
to be financed out	116
a p p en	113
ii c lick h	113
p p en d	113
en d ix ii	113
d ix ii c	113
p en d ix	113
ix ii c lick	113
in addition to the	111
substantially in accordance with	109
of united states dollars	109
with the terms and	108
project will be implemented	108
the development of the	107
terms and conditions as	106
the project will not	106
the principal amount of	106
and social management framework	106
projects in disputed areas	106
such terms and conditions	106
in the form of	106
of the project and	105
sectoral and institutional context	105
the establishment of a	105
projects on international waterways	105
the fund shall provide	104
as shall be substantially	104
and conditions presented herein	104
terms and conditions presented	104
be substantially in accordance	104
shall be substantially in	104
upon such terms and	104
in the agriculture sector	104
and conditions as shall	104
conditions as shall be	104
thousands of united states	103
in disputed areas op	102
that the fund shall	102
on international waterways op	102
is one of the	102
the proposed project is	101
and upon such terms	101
shall ensure that the	101
t t t t	100
of the agricultural sector	99
will be implemented in	98
fund shall provide a	98
amended from time to	97
for the development of	96
of the project is	95
grant to the republic	95
is aligned with the	94
internal rate of return	94
and context country context	92
introduction and context country	92
in the procurement plan	91
review did authorize the	91
the review did authorize	91
in the amount of	91
and requirements set forth	91
per cent of total	90
by the ministry of	90
for the implementation of	90
as adb may otherwise	90
the proposed project will	89
the amount of the	89
except as adb may	89
adb may otherwise agree	89
of the project will	88
in schedule to this	88
set out in the	88
is consistent with the	88
the proposed financing to	87
in terms of the	87
international waterways op bp	86
cultural resources op bp	86
indigenous peoples op bp	86
will be based on	86
involuntary resettlement op bp	86
natural habitats op bp	86
safety of dams op	86
ensure that the project	86
environmental assessment op bp	86
physical cultural resources op	86
of dams op bp	86
disputed areas op bp	85
women and young people	85
learning and knowledge management	85
the loan shall be	84
agreed between the borrower	84
proposed financing to the	84
will be used to	83
project is expected to	83
an amount equivalent to	83
be included in the	82
be responsible for the	82
of the loan withdrawn	81
of the loan shall	81
in an amount equivalent	81
of the loan and	81
equivalent to approximately us	80
through the project executing	79
in the case of	79
the use of the	78
and submitted by the	78
of schedule to this	78
the borrower shall cause	78
prepared and submitted by	78
are expected to be	78
at the national level	77
including any update thereto	77
development objective is to	77
the capacity of the	76
total amount amount amount	75
is in line with	75
applicable laws and regulations	74
after the end of	74
the ministry of finance	74
policies that might apply	74
that might apply safeguard	73
the project is expected	73
of total expenditure claimed	73
the loan and the	73
document the world bank	72
world bank document the	72
is expected to be	72
by the borrower and	72
the effectiveness of this	72
the project will finance	72
bank document the world	72
percent of the population	72
at the end of	72
and monitoring and evaluation	71
in this loan agreement	71
will contribute to the	71
legal instruments and authority	71
in the context of	71
by the world bank	71
effectiveness of this loan	71
resilience to climate change	71
adaptation to climate change	71
project coordination and management	71
stage date prepared updated	71
the end of each	71
of this component is	71
the project and the	70
might apply safeguard policies	70
apply safeguard policies triggered	70
entry into force of	70
agriculture and food security	70
of environmental and social	70
operation of the project	69
agriculture and rural development	69
submitted by the borrower	69
young people and women	69
world bank group financing	69
cent of the total	68
the monitoring and evaluation	68
in the project areas	68
the objective of this	68
the project development objective	67
financial statements for the	67
be carried out in	67
bidding documents and contracts	67
this component is to	67
loan and grant to	67
the basis of the	67
set forth in schedule	67
proposed loan and grant	67
board date practice area	66
appraisal date estimated board	66
estimated board date practice	66
estimated appraisal date estimated	66
million amount of ifad	66
and grant to the	66
date estimated board date	66
project will support the	66
directly supervised by ifad	66
of agriculture and livestock	66
region estimated appraisal date	66
on behalf of the	66
forth in schedule to	65
first disbursement of the	65
the procurement of goods	65
in the implementation of	65
physical characteristics relevant to	65
salient physical characteristics relevant	65
characteristics relevant to the	64
to the safeguard analysis	64
and salient physical characteristics	64
project location and salient	64
between the republic of	64
support the development of	64
will be financed by	64
location and salient physical	64
relevant to the safeguard	64
will comply with the	64
shall be subject to	63
the preparation to continue	63
authorize the preparation to	63
the african development bank	63
project will contribute to	63
for the project and	63
did authorize the preparation	63
and regulations of the	63
with a view to	63
or cause to be	63
