identifier	question
IDB10	What Does Bolivia Export?
WB111	Legal Operational Policies Triggered?
AF32	1.1.3 Why is productivity so low in Africa?
AF32	Country Projects Aligned to inserting a TAAT component?
WB119	Legal Operational Policies Triggered?
WB11	The World Bank Guinea Bissau Emergency Food Security Project( P174336) Page 8 of 10 Legal Operational Policies Triggered?
WB18	C. Environmental and Social Safeguards Specialists on the Team D. Policies that might apply Safeguard Policies Triggered?
WB40	Legal Operational Policies Triggered?
WB36	Legal Operational Policies Triggered?
WB54	Legal Operational Policies Triggered?
AF17	( ii) What coordination arrangements will be made?
AF17	( iii) What capacity constraints exist if any, and how will they be lifted?
WB56	Legal Operational Policies Triggered?
WB67	The World Bank Ghana Productive Safety Net Project 2( P175588) Nov 25, 2020 Page 10 of 12 Legal Operational Policies Triggered?
WB70	Legal Operational Policies Triggered?
WB66	Legal Operational Policies Triggered?
WB122	Legal Operational Policies Triggered?
WB72	Legal Operational Policies Triggered?
WB81	The World Bank Turkey Resilient Landscape Integration Project( TULIP)( P172562) Mar 12, 2020 Page 13 of 15 Legal Operational Policies Triggered?
WB58	? s rural poverty alleviation programs.
WB58	The 14 zones contain 680 nationally designated poverty counties which benefit from special financial support under the government?
WB88	Legal Operational Policies Triggered?
WB89	The World Bank Malawi Resilient Productive Landscapes Project( P167860) Nov 27, 2018 Page 11 of 12 Legal Operational Policies Triggered?
IF17	Q2: Will the establishment of any new oil palm plantation result in deforestation?
IF17	Q3: Will the establishment of any new oil palm plantation result in involuntary resettlement of project beneficiaries?
IF17	Q4: What is the foreseen market for the oil palm produced under the project?
IF17	Q5: Has IFAD- funded projects supported oil palm production in the past in Sierra Leone?
IF17	Q6: Will the project be aligned to the new Roundtable on Sustainable Palm Oil( RSPO) standard for Smallholder Certification, Support and Inclusion?
WB84	? s national strategy on water security agenda and to the World Bank Group twin goals of ending extreme poverty and boosting shared prosperity.
WB84	? s white- napped cranes, 55% of world''s hooded crane, 60% of world''s white storks, and 96% of world''s swan goose population.
WB84	It is a house for over 95% of world''s white crane, 60% of world?
WB84	The project is expected to contribute to both China?
AF1	Was/ Were the document( s) disclosed prior to appraisal?
AF1	Yes No Is this project processed under a waiver to the Integrated Safeguards System?
AF1	Yes No NA C. Clearance Is the project compliant to the Bank ’s environmental and social safeguards requirements, and to be submitted to the Board?
AF39	Was/ Were the document( s) disclosed prior to appraisal?
AF39	Yes No Is this project processed under a waiver to the Integrated Safeguards System?
AF39	Yes No NA C. Clearance Is the project compliant to the Bank ’s environmental and social safeguards requirements, and to be submitted to the Board?
WB121	Have costs related to safeguard policy measures been included in the project cost?
WB121	No Is this a Transferred project?
WB121	Safeguard Policies Triggered?
AF34	Was/ Were the document( s) disclosed prior to appraisal?
AF34	Yes No Is this project processed under a waiver to the Integrated Safeguards System?
AF34	Yes No NA C. Clearance Is the project compliant to the Bank ’s environmental and social safeguards requirements, and to be submitted to the Board?
WB2	Safeguard Policies that might apply Safeguard Policies Triggered?
WB2	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB2	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB2	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB2	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB13	Safeguard Policies that might apply Safeguard Policies Triggered?
WB13	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB13	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB13	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB13	Yes[] No[] NA[] OP/ BP 4.04- Natural Habitats Would the project result in any significant conversion or degradation of critical natural habitats?
WB13	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB19	Are PMP requirements included in project design?
WB19	If yes, does the project team include a Pest Management Specialist?
WB19	NA Is a separate PMP required?
WB19	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB19	Yes Have costs related to safeguard policy measures been included in the project cost?
WB19	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB19	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB32	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB32	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB32	Yes Have costs related to safeguard policy measures been included in the project cost?
WB32	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB32	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB33	Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB33	Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB33	Have costs related to safeguard policy measures been included in the project cost?
WB33	Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB33	If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB33	No Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB33	OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB33	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB120	Are PMP requirements included in project design?
WB120	If yes, does the project team include a Pest Management Specialist?
WB120	No If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB120	OPS_ PM_D ISCL OSURE_TA BLE Pest Management Plan Was the document disclosed prior to appraisal?
WB120	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB120	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB120	Yes Have costs related to safeguard policy measures been included in the project cost?
WB120	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
