trigram	frequency
the project will	1965
of the project	1497
as well as	1263
in accordance with	1115
environmental and social	1026
of the loan	989
the borrower shall	777
the ministry of	768
accordance with the	736
the development of	653
the project is	647
monitoring and evaluation	634
the implementation of	596
per cent of	576
the world bank	570
in the project	555
implementation of the	547
this loan agreement	542
ministry of agriculture	510
in terms of	481
set forth in	478
for the project	444
the proposed project	443
based on the	430
amount amount amount	428
the republic of	422
the agricultural sector	421
in order to	417
in rural areas	410
the use of	398
part of the	374
under the project	370
the agriculture sector	368
project will be	366
to ensure that	364
to climate change	359
in the country	355
by the project	350
of the country	348
percent of the	346
the project area	344
as part of	344
is expected to	339
the borrower and	339
in line with	337
q q q	336
the establishment of	336
terms and conditions	334
the government of	330
the private sector	326
one of the	317
proceeds of the	316
to the bank	311
of the borrower	307
will be implemented	298
of the population	294
be responsible for	293
of agriculture and	288
by the bank	282
for the purposes	275
this component will	275
shall ensure that	273
total project cost	270
the purposes of	270
the proceeds of	269
and social management	268
ensure that the	267
will be responsible	267
forth in the	260
from time to	259
the project and	257
time to time	257
the capacity of	256
of the program	256
the loan regulations	253
to improve the	252
in addition to	250
borrower shall ensure	250
be carried out	250
the end of	249
value chain development	246
included in the	245
of the total	241
will also be	240
amount of the	239
will contribute to	238
as a result	238
cent of the	237
the programme will	236
the provisions of	235
according to the	234
well as the	232
to the republic	231
of the national	230
eb lot p	229
aligned with the	228
contribute to the	225
out of the	224
by the borrower	223
to the project	220
food and nutrition	218
the amount of	217
to the borrower	217
of this loan	215
are expected to	214
the proposed financing	213
of the agricultural	212
that the project	210
line with the	208
borrower and adb	207
will be the	206
with the bank	205
which will be	204
the project executing	203
due to the	202
to be financed	202
from the loan	201
will support the	200
in the agricultural	200
will be prepared	197
of climate change	196
support for the	195
the number of	194
project executing agency	190
project will also	190
the loan account	189
the value chain	189
to this loan	189
will be used	189
consistent with the	187
ministry of finance	184
to support the	183
food security and	183
will be carried	183
proposed development objective	181
and rural development	181
development of the	179
that will be	178
is estimated at	176
the promotion of	176
project will support	176
expected to be	174
the project implementation	173
and nutrition security	172
of the ministry	172
the terms and	172
united states dollars	172
the adoption of	172
natural resource management	170
agricultural value chains	169
access to markets	168
schedule to this	168
in the region	168
the preparation of	168
on the basis	167
supported by the	167
the basis of	167
the quality of	166
purposes of section	166
by the government	165
financed by the	165
such as the	164
between the borrower	164
in charge of	164
and implementation of	163
of the bank	163
the environmental and	163
a number of	162
the objective of	161
and will be	161
physical cultural resources	161
the sustainability of	160
the provision of	159
and food security	159
establishment of a	159
and capacity building	158
responsible for the	158
and knowledge management	157
the procurement plan	157
to contribute to	157
small and medium	156
will focus on	156
will help to	155
a result of	154
acceptable to adb	154
objective is to	154
women and youth	154
and access to	153
value chains and	153
capacity of the	152
grant to the	152
activities will be	148
the project would	148
climate change and	148
in the sector	148
with the provisions	148
the date of	147
of the proceeds	146
principal payment date	145
will be provided	145
set out in	145
org wsdocs getdocument	145
the creation of	145
of natural resources	144
rate of return	144
the effectiveness of	144
will be established	143
management of the	142
in the agriculture	142
is aligned with	142
agriculture and livestock	142
agreement between the	141
and social impacts	140
of the proposed	139
in the procurement	138
project development objective	137
of the following	137
the management of	136
use of the	135
comply with the	134
support to the	134
with the terms	133
some of the	133
it will be	133
compliance with the	132
the executive board	132
related to the	131
the project to	130
procurement of goods	129
the design of	129
principal amount of	129
to strengthen the	129
goods and services	129
conditions precedent to	128
requirements set forth	128
of the rural	127
the executing agency	126
the need to	126
value chain actors	125
end of the	124
the project design	124
and social safeguards	124
most of the	124
is consistent with	124
terms of reference	124
economic and social	124
agricultural productivity and	123
financed out of	123
involved in the	122
lick h ere	122
c lick h	122
in sert e	122
sert e b	122
d in sert	122
an d in	122
public and private	122
the project activities	122
ere an d	122
h ere an	122
of the government	121
to increase the	121
an environmental and	121
be implemented in	121
loan and grant	120
is based on	120
will be developed	119
health and safety	119
be subject to	119
be financed out	119
be used to	118
at the national	118
operation and maintenance	117
of value chains	117
of project activities	117
m e system	116
processing and marketing	116
world bank document	116
world bank group	116
asian development bank	115
project management and	115
of this component	115
it will also	114
there is a	114
terms of the	114
over the past	114
in disputed areas	114
a total of	113
will be financed	113
social management framework	113
and management of	113
as shall be	113
ii c lick	113
ix ii c	113
p en d	113
a p p	113
to address the	113
d ix ii	113
on international waterways	113
en d ix	113
p p en	113
out in the	113
activities in the	113
addition to the	113
project will not	113
through the project	112
is one of	112
and financial management	112
associated with the	112
of access to	112
with the government	111
agricultural and rural	111
the form of	111
the government has	110
climate change adaptation	110
prior to the	110
subject to the	110
shall have been	110
preparation of the	110
the united nations	110
the loan shall	109
an increase in	109
substantially in accordance	109
and in the	109
of united states	109
will be conducted	109
and institutional context	109
investment project financing	109
the principal amount	108
technical and financial	108
carried out in	108
operation of the	108
in an amount	108
the bank and	108
technical assistance and	107
in the form	107
the project has	107
coordination and management	107
such terms and	106
and conditions as	106
the resilience of	106
the value chains	106
projects on international	106
projects in disputed	106
sectoral and institutional	105
t t t	105
access to finance	105
project management unit	105
for the development	105
the fund shall	105
conditions presented herein	104
the loan proceeds	104
conditions as shall	104
be substantially in	104
and conditions presented	104
shall be substantially	104
of ifad loan	104
fund shall provide	104
upon such terms	104
loan to the	104
of the programme	104
per cent in	104
to ensure the	104
shall provide a	103
context country context	103
thousands of united	103
that the fund	103
objective of the	103
in the world	102
international waterways op	102
proposed project is	102
disputed areas op	102
introduction and context	101
be included in	101
the african development	101
increase in the	101
no the project	101
the level of	101
in schedule to	101
with respect to	101
and upon such	101
the loan and	101
plan for the	101
will not be	100
the program will	100
sustainability of the	99
will be a	99
by the ministry	99
the impact of	99
to the extent	99
period of years	98
for the implementation	98
component will finance	98
need to be	98
be based on	98
the project management	98
the procurement of	98
african development bank	98
the lack of	97
amended from time	97
the project in	97
the bank will	96
and climate change	96
the loan agreement	96
bidding documents and	96
safety of dams	96
in the area	96
the financing agreement	96
crop and livestock	96
will be based	96
during project implementation	95
amount of ifad	95
approved by the	95
rural development and	95
women and young	95
limited access to	95
agriculture and food	95
the component will	95
for the proposed	95
works and services	95
the context of	95
except as adb	94
from the project	94
the total cost	94
internal rate of	94
each of the	94
ensure that all	94
ifad and the	94
production and productivity	94
the first disbursement	94
agreed between the	94
the participation of	93
amount equivalent to	93
project and the	93
prepared and submitted	93
no later than	93
laws and regulations	93
in the amount	93
be financed by	93
youth and women	93
and technical assistance	92
parent project id	92
and context country	92
financing to the	92
defined in the	92
and requirements set	92
design and implementation	92
and market access	92
improvement of the	92
and per cent	92
the government and	91
resilience to climate	91
and private sector	91
the review did	91
carried out by	91
and young people	91
in collaboration with	91
review did authorize	91
did authorize the	91
estimated at us	91
and maintenance of	91
specified in the	91
to the fund	91
development of agricultural	90
percent of gdp	90
in the event	90
adb may otherwise	90
relevant to the	90
the construction of	90
project implementation unit	90
cent of total	90
of women and	90
risks and impacts	90
capacity building of	90
as adb may	90
loan shall be	89
estimated board date	89
with regard to	89
the improvement of	89
goods and works	89
this component is	89
proposed project will	89
safeguard policies triggered	89
of the economy	89
economic and financial	89
submitted by the	89
may otherwise agree	89
involuntary resettlement op	88
food and agriculture	88
the results of	88
the performance of	88
acceptable to the	88
proposed financing to	88
and value addition	88
the program is	88
board of directors	88
will be supported	88
date prepared updated	87
of the sector	87
pest management op	87
waterways op bp	87
agriculture and rural	87
is to improve	87
young people and	87
indigenous peoples op	86
the case of	86
on behalf of	86
the m e	86
cultural resources op	86
environmental assessment op	86
peoples op bp	86
about percent of	86
dams op bp	86
of dams op	86
habitats op bp	86
the lake chad	86
resettlement op bp	86
resources op bp	86
assessment op bp	86
natural habitats op	86
forests op bp	86
into account the	85
learning and knowledge	85
lessons learned from	85
the need for	85
the pmu will	85
areas op bp	85
in the implementation	85
the rehabilitation of	85
the cost of	84
put in place	84
development of a	84
of the agriculture	84
project is expected	84
an amount equivalent	84
will have a	84
and poverty reduction	84
and economic analysis	84
to meet the	84
basic project data	84
by expenditure category	84
of schedule to	84
men and women	84
project coordination and	84
first disbursement of	84
entry into force	83
the production of	83
agricultural production and	83
development objective is	83
resettlement policy framework	83
objectives of the	83
the department of	83
a series of	83
in this regard	83
to the national	82
the national level	82
the borrower to	82
the project areas	82
will benefit from	82
collaboration with the	82
administrative and financial	82
of the value	82
to approximately us	82
will be undertaken	82
estimated appraisal date	82
to enhance the	82
the financial statements	82
system will be	82
to participate in	82
land and water	81
the strengthening of	81
and consulting services	81
a focus on	81
equivalent to approximately	81
the loan withdrawn	81
and to be	81
in the case	81
strengthening of the	81
will be achieved	80
net present value	80
the rural population	80
the bank has	80
and operation of	80
in compliance with	80
disbursement of the	80
production and processing	80
this will be	80
by the world	80
economic growth and	80
the monitoring and	80
of loan proceeds	80
of agricultural products	79
cause the project	79
and submitted by	79
will also support	79
the esmf will	79
and development of	79
borrower shall cause	79
integrated pest management	79
during project preparation	79
the project are	79
submitted to the	79
social and environmental	79
the productivity of	78
of total expenditure	78
technical assistance to	78
based on a	78
the parent project	78
financial management and	78
in the table	78
and the bank	78
is in line	78
loan and the	78
will take place	77
and the project	77
the borrower has	77
to promote the	77
component is to	77
capacity building and	77
be used for	77
any update thereto	77
compliance with ifad	77
project activities will	77
value addition and	77
growth rate of	77
poverty reduction and	77
including any update	77
as defined in	76
the introduction of	76
legal instruments and	76
a range of	76
is responsible for	76
the majority of	76
project costs by	76
located in the	76
to the government	76
with the national	76
the most vulnerable	76
natural resources and	76
by component and	76
the availability of	75
and social impact	75
applicable laws and	75
items of expenditure	75
selected value chains	75
the effects of	75
and cleared by	75
performance of the	75
the project development	75
in recent years	75
total amount amount	75
of us million	75
republic of the	74
project is to	74
project will finance	74
chaired by the	74
and monitoring and	74
that might apply	74
research and extension	74
to per cent	74
impact on the	74
after the end	74
days after the	74
pest management plan	74
months after the	74
for women and	74
policies that might	74
the financial management	74
effectiveness of this	74
copy of the	74
will ensure that	74
adaptation to climate	74
the bank group	73
will be made	73
might apply safeguard	73
the country has	73
the programme is	73
component will be	73
of the first	73
will finance the	73
in the context	73
will be included	73
at the end	73
the process of	73
soil and water	73
design of the	73
support the development	73
total expenditure claimed	73
will be done	72
the risk of	72
country project id	72
the piu will	72
over the last	72
provided by the	72
supervised by ifad	72
bank group financing	72
countries in the	72
the board of	72
the achievement of	72
million contribution of	72
an average of	72
management and coordination	72
benefit from the	72
the impacts of	72
to finance the	72
the country is	72
will be set	72
bank document the	72
the importance of	72
gross domestic product	72
end of each	72
document the world	72
in support of	72
assessment of the	72
international development association	71
of agricultural production	71
results of the	71
project is aligned	71
instruments and authority	71
of environmental and	71
stage date prepared	71
in this loan	71
it is also	71
and m e	71
a grace period	71
agricultural research and	71
be set up	71
objective of this	71
proposed loan and	71
and the national	71
and the government	70
and use of	70
is not triggered	70
identified in the	70
the following is	70
total cost of	70
be supported by	70
with a view	70
is designed to	70
project steering committee	70
of the sps	70
the financing of	70
impacts of climate	70
into force of	70
apply safeguard policies	70
people and women	70
financial statements for	70
relating to the	70
have been identified	70
in the rural	70
establishment of the	69
to reduce the	69
capacity building for	69
the area of	69
be submitted to	69
that the proposed	69
audited financial statements	69
the presence of	69
areas of the	69
be able to	69
access to credit	69
taking into account	69
there are no	69
the national agricultural	69
development and poverty	68
and improve the	68
the application of	68
project will contribute	68
of project implementation	68
will continue to	68
with the project	68
the food and	68
in the areas	68
effectiveness of the	68
basis of the	68
will be in	68
the responsibility of	67
of economy and	67
million amount of	67
loan agreement shall	67
expected to have	67
ministry of economy	67
impact of the	67
access to land	67
will comply with	67
and grant to	67
describe any potential	67
the total project	67
out of countries	67
statements for the	67
forth in schedule	67
under this component	67
documents and contracts	67
project area and	66
african development fund	66
implementation of a	66
or cause the	66
appraisal date estimated	66
approve the proposed	66
to implement the	66
behalf of the	66
and quality of	66
project location and	66
of the state	66
to the safeguard	66
and water management	66
to facilitate the	66
activities related to	66
component will support	66
alignment with government	66
date estimated board	66
region estimated appraisal	66
for implementation of	66
date practice area	66
directly supervised by	66
board date practice	66
and strengthening of	66
on climate change	65
regulations of the	65
salient physical characteristics	65
enabling environment for	65
costs by component	65
this subcomponent will	65
yes the project	65
will include the	65
bank and the	65
to be implemented	65
characteristics relevant to	65
not expected to	65
and natural resources	65
project information document	65
the proposed operation	65
focus on the	65
safeguard policy issues	65
climate smart agriculture	65
and value chain	65
the allocation of	65
to achieve the	65
and regulations of	65
the legal instrument	65
in the esmf	65
with government priorities	65
of young people	65
be provided to	65
a copy of	65
force of the	65
and social risks	65
physical characteristics relevant	65
will be recruited	64
in usd million	64
between the republic	64
of the financing	64
for the establishment	64
the safeguard analysis	64
to the first	64
described in the	64
agricultural value chain	64
total project costs	64
quality of life	64
location and salient	64
and salient physical	64
improved access to	64
on the project	64
the selection of	64
the framework of	64
and social development	63
of the irrigation	63
flow of funds	63
basic information a	63
as of the	63
improve access to	63
the preparation to	63
members of the	63
shall be subject	63
of the financial	63
and ifad will	63
in the pam	63
authorize the preparation	63
the agreement establishing	63
a view to	63
the central bank	63
in the loan	63
needs to be	63
